LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC001633,1026.923,5.134615,1.9126723778262438,11.854,0.0,201,Std,ACORN-E,Affluent,6.7086875,5.33167032967033,4.3565000000000005,4.685123595505618,5.492771929824562,4.991853146853147
MAC001634,6976.0979994,11.055622819968304,5.622898030682536,34.54699999999999,0.017,631,Std,ACORN-J,Comfortable,15.61643273625731,9.791381217127071,12.379302084375,7.3499180387978145,11.39751955642458,10.920225661061947
MAC001635,2406.4579997,3.7483769465732086,1.167634340514704,15.223,0.041,642,Std,ACORN-F,Comfortable,3.5954611122222224,3.818164834065934,3.7082604145833336,3.849869564673914,4.121901096703297,3.600591304565218
MAC001636,6817.5170002,10.635751950390016,1.7754193259266078,17.0640001,0.107,641,ToU,ACORN-G,Comfortable,11.252788889444444,10.779917582967032,10.432635416666667,9.992005464480874,10.67477900607735,10.620395652391306
MAC001637,3488.3080000000004,5.4335015576323995,1.7408639222482047,10.460000000000004,0.073,642,Std,ACORN-F,Comfortable,6.653994444444445,5.385142857142857,5.921385416666667,4.032826086956522,5.300829670329671,5.48599347826087
MAC001638,4368.1590002,6.814600624336974,3.3073268118219143,22.391,0.15,641,Std,ACORN-D,Affluent,8.878811112222223,7.260637363736264,5.77611458125,4.885409836065573,7.073714286263736,6.711858388017429
MAC001639,5599.5169992,8.721989095327103,2.260548906488971,20.9239998,0.077,642,Std,ACORN-O,Adversity,9.789272216666667,8.275648351098901,8.952208333333333,7.999282610326087,8.909664832417583,8.647734781956522
MAC001640,3940.5890000000004,6.137989096573209,1.5548632973724321,16.666,0.1669999999999999,642,Std,ACORN-Q,Adversity,6.741705555555556,5.897994505494506,5.957614583333334,5.878891304347826,6.353010989010989,6.0529152173913054
MAC001641,19784.2049964,30.816518685981308,9.174646434796118,74.84400009999997,0.73,642,Std,ACORN-E,Affluent,29.46081666555556,31.50276922417582,32.63157289479167,30.516972825543476,29.22878021868132,31.444710862173913
MAC001642,13576.554997000001,21.14728192679128,8.999986355651883,48.5609999,0.0819999999999999,642,ToU,ACORN-D,Affluent,28.990422215555554,21.360923073076926,23.9559166625,11.797951083152174,23.19839010054945,20.335756518913044
MAC001643,9274.256000000001,14.445881619937696,6.314272115307838,43.7330001,0.141,642,Std,ACORN-N,Adversity,19.036272222222223,13.261489006593408,15.187604171875002,10.73981521902174,14.660247246153846,14.361067393913045
MAC001644,3023.7159994000003,6.794867414382023,5.505811474031466,30.047000000000004,0.057,445,Std,ACORN-E,Affluent,6.1249777722222225,10.695626378021977,2.7768750000000004,7.336821425595239,8.010480000000001,6.320018748125
MAC001645,4615.6809999,7.189534267757009,2.9621929342219007,20.499000100000003,0.037,642,ToU,ACORN-H,Comfortable,8.385544442777778,7.25539010934066,6.434572919791666,6.348277173913044,7.38649999945055,7.111604347826088
MAC001646,6854.6519993,10.677028036292835,6.340347295070365,84.01700050000002,0.122,642,Std,ACORN-F,Comfortable,11.541011106111112,10.010406593956045,12.238875,9.6763260875,13.304538463736264,9.637447823695654
MAC001647,2436.09,3.806390625,1.0793680150727323,12.554000000000002,0.046,640,Std,ACORN-E,Affluent,3.4842944444444446,3.9483076923076927,3.86921875,3.9498901098901107,3.883774725274726,3.7756397379912667
MAC001648,1927.1779999999999,3.001834890965732,1.0542141008886143,7.198000000000001,0.019,642,Std,ACORN-Q,Adversity,3.0273555555555554,3.2392417582417576,2.724760416666667,2.886603260869565,3.3338021978021977,2.870491304347826
MAC001649,13234.8850022,20.6795078159375,15.939936485009058,63.17900010000001,0.038,640,Std,ACORN-F,Comfortable,38.037011131111115,17.513027471978024,20.958979155208336,6.531813185714286,20.715554962087914,20.665183404148472
MAC001650,6464.6129983,10.085199685335413,3.0847687950149774,23.246,0.048,641,ToU,ACORN-H,Comfortable,11.673049997777778,9.541994503296703,10.428447908333334,8.883551912021858,11.415712706077349,9.561671735869565
MAC001651,5615.6710004,8.747151090965732,2.0147381826335393,14.867,0.149,642,ToU,ACORN-E,Affluent,8.868866667222223,8.391093406593408,9.251739588541668,8.717005433695652,9.26548351868132,8.542071739130435
MAC001652,3810.6000002,5.935514019003115,1.7685261146186184,12.501000000000005,0.04,642,Std,ACORN-C,Affluent,6.694505555000001,5.96282967087912,5.979281251041666,5.143168478804348,6.0375714280219785,5.89513478326087
MAC001653,1861.8640015,18.434297044554455,7.4499302844926145,31.939999899999997,0.133,101,ToU,ACORN-A,Affluent,17.5867142984127,19.839500018421052,,,20.935500013333336,17.37745071971831
MAC001654,426.31700000000006,1.1368453333333335,1.4422315531909595,6.342000000000001,0.0,375,Std,ACORN-E,Affluent,0.6281555555555557,0.5768681318681321,0.4397604166666667,2.8068469387755104,1.2000849056603775,1.111925650557621
MAC001655,1948.9110001000001,3.035686916043614,1.9046521387575943,10.586000000000002,0.0,642,ToU,ACORN-E,Affluent,3.5371333333333337,3.0528901104395607,2.7254687500000006,2.6899782608695655,3.475972527472528,2.8614869567391303
MAC001656,8952.4229988,13.944584110280374,5.777237371244665,33.37199990000001,0.086,642,Std,ACORN-D,Affluent,16.362383336666667,13.343291204395605,13.586604164583333,12.360874995652175,12.87518681043956,14.36769347673913
MAC001657,1847.1110001,2.88611093765625,0.8827991220064509,5.65,0.0069999999999999,640,Std,ACORN-Q,Adversity,2.441322222222222,2.936961539010989,2.7900416666666668,3.325835164835165,2.708110497237569,2.9563028324618736
MAC001658,4701.5170005,7.334659907176287,2.0978885504616356,13.542000000000003,0.18,641,ToU,ACORN-L,Adversity,7.731038891111112,7.812170329120879,6.6328750010416675,6.838027322950819,7.41530939281768,7.302926087826088
MAC001659,4446.496,6.9260062305295955,2.1313117569680244,18.78,0.124,642,Std,ACORN-F,Comfortable,8.322716667222222,6.323939560439561,7.933593748958334,5.6294836956521745,7.02084065934066,6.888484782608695
MAC001660,4036.2270002,6.28695794423676,1.8644963159462309,15.61,0.046,642,ToU,ACORN-F,Comfortable,6.080949999444445,6.892939560989011,6.357645835416666,5.85221195652174,6.184390112087913,6.32753913
